patent_id,inventor_id,company_id
10002288,fl:jo_ln:guillory-3,a02f5e34-1a4a-405b-b80c-b2b546b90cb7
10013436,fl:th_ln:duerig-1,048b2efe-1ff2-4857-9bbc-18422f0f1910
10002028,fl:jo_ln:andonieh-1,0981623f-e8d0-48b1-af06-42804b9298f1
10008562,fl:ya_ln:niimura-2,41dc471d-a24d-4faf-83c0-db9a8f1b9883
10000482,fl:mi_ln:thormann-1,c437739f-5caf-410e-98ee-a05aeade9249
10022026,fl:ma_ln:price-30,
10008462,fl:su_ln:seo-72,533e0469-baac-46b7-9576-669db08092eb
10017342,fl:to_ln:okutsu-4,5b0b2179-927c-48dd-a8ee-211adb1d7e7a
10021390,fl:sa_ln:hulyalkar-1,04d0aabc-123c-4a18-b0aa-a55fc51bdd4c
10000573,fl:jo_ln:valladares-2,846ef848-d2a5-4f29-a152-0b79330db52a
10019499,fl:vi_ln:raman-9,29b8f534-149e-443c-b76b-3c4a222da89c
10022567,fl:da_ln:price-10,8f089b00-5c6c-41fe-8f94-813ca79cb2b1
10023823,fl:so_ln:konno-2,3082613b-8dcf-40ae-9a47-6e5d81a64062
10002378,fl:an_ln:marcar-1,ba468cf2-9aa0-474c-8024-32260a73c05d
10020126,fl:ko_ln:kimura-11,77b0e539-7552-487c-8171-df9127f7fa66
10004386,fl:al_ln:lepplewienhues-1,3c8a5469-fd26-4d03-923c-edc8eee28bab
10012758,fl:a._ln:andrews-1,7cf2d872-7724-49cd-81aa-d231c9283a40
10025157,fl:yu_ln:li-356,f2d133e3-fcea-43b4-b6a1-01e10a9479b7
10004064,fl:ha_ln:kim-667,906da649-dd98-4eac-a78c-d5dc3cc385b1
10015106,fl:be_ln:lutati-1,02301435-a838-43cb-899d-d54d2579d6b6
10012576,fl:zu_ln:fan-2,ce874967-c103-425d-8ab7-bf6785a274f1
10010013,fl:au_ln:shelnutt-1,0e58b46b-2bf9-4b2e-a192-6219352efa9c
10019334,fl:ja_ln:kosecki-1,2576d873-c6b3-4109-948d-cc582495abb4
10001941,fl:to_ln:brkic-1,c0dd0b4d-fbbe-4965-b458-304bb690d1e8
10005229,fl:do_ln:proctor-3,4840cedc-7dcd-4aa9-9d62-ee877f7ef128
10019997,fl:pe_ln:jax-1,7dfcf143-250a-4a80-b2fd-1a8d5e69c3e8
10000054,fl:gu_ln:peter-3,d2d37e3d-a1f6-4c1f-bcf3-194e88d29eaf
10021232,fl:ji_ln:park-213,906da649-dd98-4eac-a78c-d5dc3cc385b1
10013725,fl:ro_ln:srivastava-3,f5dc5b8a-028d-456d-bf4b-7c89b3ad863a
10007172,fl:no_ln:balmer-1,04dd7f83-28ba-4b90-aedd-0f47a6b42b6c
